id_address;address;id_city;last_update
1;67 Miller Terrace;2;2022-06-18
2;2947 Kennedy Court;23;2022-06-18
3;26342 Lighthouse Bay Drive;20;2022-06-18
4;62216 Lotheville Hill;10;2022-06-18
5;54803 Roth Court;8;2022-06-18
6;451 Marquette Point;11;2022-06-18
7;49112 Marquette Avenue;16;2022-06-18
8;23 Butterfield Center;3;2022-06-18
9;602 Fordem Terrace;12;2022-06-18
10;8542 Sugar Hill;10;2022-06-18
11;7669 Bay Crossing;18;2022-06-18
12;1810 Roxbury Way;18;2022-06-18
13;269 South Plaza;17;2022-06-18
14;9208 Steensland Circle;19;2022-06-18
15;90412 Bultman Lane;15;2022-06-18
16;654 Eagan Drive;7;2022-06-18
17;2397 Bunker Hill Way;10;2022-06-18
18;132 Anderson Trail;23;2022-06-18
19;8065 Clove Junction;14;2022-06-18
20;35 7th Road;3;2022-06-18
21;08360 Di Loreto Point;6;2022-06-18
22;3 Hallows Point;22;2022-06-18
23;05 Ridgeway Junction;12;2022-06-18
24;8 Summer Ridge Pass;15;2022-06-18
25;883 Kenwood Point;19;2022-06-18
26;23960 Eagle Crest Point;22;2022-06-18
27;22639 Melby Plaza;3;2022-06-18
28;4632 Bobwhite Plaza;21;2022-06-18
29;6897 Grover Street;23;2022-06-18
30;81915 Trailsway Alley;17;2022-06-18
31;0151 Calypso Crossing;14;2022-06-18
32;328 Grayhawk Park;16;2022-06-18
33;84254 Hansons Point;9;2022-06-18
34;2 Karstens Avenue;8;2022-06-18
35;05072 Sachtjen Park;11;2022-06-18
36;92 Hauk Junction;23;2022-06-18
37;2 Bunting Court;5;2022-06-18
38;8 Susan Plaza;1;2022-06-18
39;90908 Karstens Avenue;20;2022-06-18
40;7 Brickson Park Terrace;9;2022-06-18
41;7166 Donald Plaza;3;2022-06-18
42;0 Melrose Place;18;2022-06-18
43;91 Northridge Center;8;2022-06-18
44;9 Dovetail Lane;5;2022-06-18
45;978 2nd Lane;11;2022-06-18
46;318 Lukken Place;15;2022-06-18
47;95 Lakeland Way;1;2022-06-18
48;09 Grim Alley;21;2022-06-18
49;6 Dahle Junction;18;2022-06-18
50;25 Rowland Park;9;2022-06-18
51;2790 Chinook Terrace;1;2022-06-18
52;2964 Burrows Pass;14;2022-06-18
53;53 Boyd Drive;8;2022-06-18
54;275 Dexter Avenue;9;2022-06-18
55;848 Ruskin Terrace;5;2022-06-18
56;515 Susan Center;1;2022-06-18
57;2056 Westerfield Pass;8;2022-06-18
58;6 Dahle Circle;10;2022-06-18
59;16 Derek Road;16;2022-06-18
60;057 Derek Alley;9;2022-06-18
61;895 Carioca Street;15;2022-06-18
62;34129 Katie Park;15;2022-06-18
63;118 Messerschmidt Lane;17;2022-06-18
64;18 Dakota Terrace;7;2022-06-18
65;42 Mcbride Hill;4;2022-06-18
66;6292 Marquette Trail;12;2022-06-18
67;6 Algoma Crossing;8;2022-06-18
68;7203 Continental Place;2;2022-06-18
69;793 Stone Corner Drive;11;2022-06-18
70;2919 Havey Circle;16;2022-06-18
71;51086 Swallow Park;9;2022-06-18
72;1566 Darwin Parkway;19;2022-06-18
73;06 Logan Point;9;2022-06-18
74;4553 Forest Run Crossing;20;2022-06-18
75;85 Declaration Crossing;2;2022-06-18
76;69 Bultman Point;20;2022-06-18
77;2 Corben Point;9;2022-06-18
78;2 Talmadge Drive;20;2022-06-18
79;24 Charing Cross Way;3;2022-06-18
80;3430 Coolidge Road;6;2022-06-18
81;7 Russell Avenue;8;2022-06-18
82;278 1st Terrace;17;2022-06-18
83;5 Gerald Road;15;2022-06-18
84;97279 Banding Road;13;2022-06-18
85;2 Magdeline Park;20;2022-06-18
86;72 Lerdahl Junction;14;2022-06-18
87;20003 Florence Point;9;2022-06-18
88;71 Katie Road;15;2022-06-18
89;731 Center Park;23;2022-06-18
90;11 Susan Terrace;14;2022-06-18
91;6 Southridge Terrace;12;2022-06-18
92;9 Schiller Center;5;2022-06-18
93;919 Coleman Circle;4;2022-06-18
94;4621 Maywood Point;8;2022-06-18
95;475 Bartelt Park;2;2022-06-18
96;433 Gulseth Crossing;4;2022-06-18
97;3 Johnson Lane;5;2022-06-18
98;899 Pearson Junction;14;2022-06-18
99;6 Coolidge Circle;7;2022-06-18
100;81 Hudson Plaza;16;2022-06-18
101;7377 Kedzie Plaza;22;2022-06-18
102;545 Old Gate Park;1;2022-06-18
103;23152 Stephen Drive;11;2022-06-18
104;940 Utah Avenue;21;2022-06-18
105;583 Lakeland Parkway;6;2022-06-18
106;4919 Waubesa Center;17;2022-06-18
107;068 Crest Line Parkway;16;2022-06-18
108;0831 Fieldstone Terrace;17;2022-06-18
109;638 School Drive;18;2022-06-18
110;273 Oakridge Circle;9;2022-06-18
111;0 Bobwhite Alley;6;2022-06-18
112;9452 Steensland Court;3;2022-06-18
113;66446 8th Drive;11;2022-06-18
114;386 Lake View Drive;13;2022-06-18
115;350 Luster Place;6;2022-06-18
116;39213 Thackeray Avenue;18;2022-06-18
117;4 Carioca Park;2;2022-06-18
118;438 Ridgeview Way;15;2022-06-18
119;2947 Mcguire Street;20;2022-06-18
120;5 American Circle;19;2022-06-18
121;8 Park Meadow Way;3;2022-06-18
122;65 Merry Hill;21;2022-06-18
123;0463 Pennsylvania Place;17;2022-06-18
124;5349 Sauthoff Point;10;2022-06-18
125;7282 Morning Hill;4;2022-06-18
126;481 Utah Road;21;2022-06-18
127;959 Corscot Hill;4;2022-06-18
128;95 Maple Wood Parkway;20;2022-06-18
129;9880 Raven Point;11;2022-06-18
130;159 Warner Park;8;2022-06-18
131;2932 Forest Dale Circle;4;2022-06-18
132;339 Kensington Circle;12;2022-06-18
133;2 Hooker Court;18;2022-06-18
134;951 Farmco Plaza;17;2022-06-18
135;339 Esker Drive;8;2022-06-18
136;2 Bonner Lane;19;2022-06-18
137;4 Old Gate Parkway;23;2022-06-18
138;8658 Sutteridge Pass;23;2022-06-18
139;2339 Burrows Plaza;12;2022-06-18
140;53 Gateway Point;4;2022-06-18
141;6 Muir Avenue;6;2022-06-18
142;19 Monument Circle;17;2022-06-18
143;658 Commercial Junction;18;2022-06-18
144;0211 Pennsylvania Hill;2;2022-06-18
145;86 Nancy Road;6;2022-06-18
146;32451 Merchant Park;5;2022-06-18
147;8 Lake View Drive;22;2022-06-18
148;64 2nd Terrace;23;2022-06-18
149;1 Moulton Circle;1;2022-06-18
150;540 Weeping Birch Pass;5;2022-06-18
151;553 Haas Road;1;2022-06-18
152;1 Tennyson Park;15;2022-06-18
153;6740 Huxley Drive;18;2022-06-18
