id_cart;id_user;last_update
1;1;2022-06-08 22:12:00
2;11;2022-05-28 09:30:20
3;15;2022-06-14 16:47:20
4;22;2022-06-09 15:20:08
5;28;2022-05-31 23:24:04
6;34;2022-05-28 09:22:06
7;39;2022-05-29 01:07:55
8;41;2022-05-29 12:04:14
9;44;2022-06-03 20:20:43
10;45;2022-06-11 09:43:31
11;48;2022-05-29 06:25:01
12;53;2022-05-27 11:25:57
13;56;2022-06-01 20:51:31
14;60;2022-06-15 23:40:17
15;62;2022-05-26 03:15:18
16;65;2022-06-17 05:08:10
17;67;2022-06-06 07:23:46
18;86;2022-06-18 05:39:00
19;94;2022-05-26 05:37:58
20;102;2022-05-27 08:52:27
21;110;2022-06-10 15:57:48
22;120;2022-06-04 22:11:53
23;123;2022-05-30 18:15:04
24;125;2022-06-15 13:18:17
25;127;2022-06-10 12:19:33
26;129;2022-06-09 07:33:37
27;131;2022-06-01 10:55:39
28;135;2022-05-26 18:51:52
29;145;2022-06-14 14:40:14
30;147;2022-06-17 06:03:09
