id_city;city;id_province
1;1° de Mayo;19
2;12 de Octubre;19
3;2 de Abril;19
4;25 de Mayo;1
5;25 de Mayo;3
6;25 de Mayo;6
7;25 de Mayo;19
8;25 de Mayo;23
9;9 de Julio;3
10;9 de julio;6
11;9 de Julio;15
12;9 de Julio;19
13;9 de Julio;23
14;Adolfo Alsina;6
15;Adolfo Alsina;23
16;Adolfo Gonzales Chaves;23
17;Aguirre;13
18;Albardón;3
19;Alberdi;13
20;Alberti;23
21;Almirante Brown;19
22;Almirante Brown;23
23;Aluminé;17
24;Ambato;11
25;Ancasti;11
26;Andalgalá;11
27;Angaco;3
28;Anta;18
29;Antártida Argentina;24
30;Antofagasta de la Sierra;11
31;Añelo;17
32;Apóstoles;1
33;Arauco;10
34;Arrecifes;23
35;Atamisqui;13
36;Atreucó;12
37;Avellaneda;6
38;Avellaneda;13
39;Avellaneda;23
40;Ayacucho;2
41;Ayacucho;23
42;Azul;23
43;Bahía Blanca;23
44;Balcarce;23
45;Banda;13
46;Baradero;23
47;Bariloche;6
48;Belén;11
49;Belgrano;2
50;Belgrano;13
51;Belgrano;15
52;Bella Vista;14
53;Benito Juárez;23
54;Berazategui;23
55;Berisso;23
56;Bermejo;19
57;Bermejo;20
58;Berón de Astrada;14
59;Biedma;7
60;Bolívar;23
61;Bragado;23
62;Brandsen;23
63;Burruyacú;16
64;Cachi;18
65;Cafayate;18
66;Cainguás;1
67;Calamuchita;8
68;Caleu Caleu;12
69;Calingasta;3
70;Campana;23
71;Candelaria;1
72;Cañuelas;23
73;Capayán;11
74;Capital;1
75;Capital;3
76;Capital;8
77;Capital;9
78;Capital;10
79;Capital;11
80;Capital;12
81;Capital;13
82;Capital;14
83;Capital;16
84;Capital;18
85;Capitán Sarmiento;23
86;Carlos Casares;23
87;Carlos Tejedor;23
88;Carmen de Areco;23
89;Caseros;15
90;Castellanos;15
91;Castelli;23
92;Castro Barros;10
93;Catán Lil;17
94;Catriló;12
95;Caucete;3
96;Cerrillos;18
97;Chacabuco;2
98;Chacabuco;19
99;Chacabuco;23
100;Chalileo;12
101;Chamical;10
102;Chapaleufú;12
103;Chascomús;23
104;Chical Co;12
105;Chicligasta;16
106;Chicoana;18
107;Chilecito;10
108;Chimbas;3
109;Chivilcoy;23
110;Chos Malal;17
111;Choya;13
112;Ciudad Autónoma de Buenos Aires;22
113;Ciudad Libertador San Martín;23
114;Cochinoca;21
115;Collón Curá;17
116;Colón;4
117;Colón;8
118;Colón;23
119;Comandante Fernández;19
120;Concepción;1
121;Concepción;14
122;Concordia;4
123;Conesa;6
124;Confluencia;17
125;Conhelo;12
126;Copo;13
127;Coronel de Marina Leonardo Rosales;23
128;Coronel Dorrego;23
129;Coronel Felipe Varela;10
130;Coronel Pringles;2
131;Coronel Pringles;23
132;Coronel Suárez;23
133;Corpen Aike;5
134;Cruz Alta;16
135;Cruz del Eje;8
136;Curacó;12
137;Curuzu Cuatia;14
138;Cushamen;7
139;Daireaux;23
140;Deseado;5
141;Diamante;4
142;Dolores;23
143;Dr. Manuel Belgrano;21
144;El Alto;11
145;El Carmen;21
146;El Cuy;6
147;Eldorado;1
148;Empedrado;14
149;Ensenada;23
150;Escalante;7
151;Escobar;23
152;Esquina;14
153;Esteban Echeverría;23
154;Exaltación de la Cruz;23
155;Famaillá;16
156;Famatina;10
157;Federación;4
158;Federal;4
159;Feliciano;4
160;Figueroa;13
161;Florencio Varela;23
162;Florentino Ameghino;7
163;Florentino Ameghino;23
164;Formosa;20
165;Fray Justo Santa María de Oro;19
166;Fray Mamerto Esquiú;11
167;Futaleufú;7
168;Gaiman;7
169;Garay;15
170;Gastre;7
171;General Alvarado;23
172;General Alvear;9
173;General Alvear;14
174;General Alvear;23
175;General Ángel V. Peñaloza;10
176;General Arenales;23
177;General Belgrano;10
178;General Belgrano;19
179;General Belgrano;23
180;General Donovan;19
181;General Güemes;18
182;General Güemes;19
183;General Guido;23
184;General José de San Martín;18
185;General Juan F. Quiroga;10
186;General Juan Madariaga;23
187;General La Madrid;23
188;General Lamadrid;10
189;General Las Heras;23
190;General Lavalle;23
191;General López;15
192;General Manuel Belgrano;1
193;General Obligado;15
194;General Ocampo;10
195;General Paz;14
196;General Paz;23
197;General Pedernera;2
198;General Pinto;23
199;General Pueyrredón;23
200;General Roca;6
201;General Roca;8
202;General Rodríguez;23
203;General San Martín;8
204;General San Martín;10
205;General Taboada;13
206;General Viamonte;23
207;General Villegas;23
208;Gobernador Dupuy;2
209;Godoy Cruz;9
210;Goya;14
211;Graneros;16
212;Guachipas;18
213;Gualeguay;4
214;Gualeguaychú;4
215;Guaminí;23
216;Guaraní;1
217;Guasayán;13
218;Guatraché;12
219;Guaymallén;9
220;Güer Aike;5
221;Hipólito Yrigoyen;23
222;Hucal;12
223;Huiliches;17
224;Humahuaca;21
225;Hurlingham;23
226;Iglesia;3
