id_provider;cuit;name;id_address;postcode;phone;email;id_iva;created_at
1;30-21702578-6;Phillips 66;43;W-4474-DOO;+62-164-232-9437;htungate0@hp.com;1;2022-05-12 05:35:35
2;30-10127519-6;Everbridge, Inc.;38;A-2440-RMB;+63-943-320-4964;tmcgillivrie1@uiuc.edu;4;2022-04-01 12:04:27
3;30-24737210-5;First Community Corporation;19;E-2274-NWJ;+351-724-102-7189;jduck2@cloudflare.com;9;2021-11-20 22:46:06
4;30-31247619-3;Public Storage;44;R-0927-NUE;+216-568-701-6246;gpirazzi3@dyndns.org;1;2022-05-16 19:43:31
5;30-16939641-6;Arcadia Biosciences, Inc.;9;V-1920-AXL;NULL;cigoe4@noaa.gov;9;2021-08-10 02:29:52
6;30-24508794-6;Carbonite, Inc.;8;J-1634-GKC;+86-174-526-4488;cwoollcott5@twitter.com;10;2021-07-31 07:33:15
7;30-40249106-5;NextEra Energy, Inc.;2;Y-1409-YUG;+57-725-210-7267;csouter6@samsung.com;1;2021-06-23 13:33:11
8;30-38165587-3;Morgan Stanley Debt Fund, Inc.;1;M-5134-UPR;+86-415-689-2915;rshieldon7@comsenz.com;1;2021-06-21 18:57:07
9;30-27685485-1;Fanhua Inc.;24;A-5165-DBA;+7-599-148-6459;fhearson8@mapy.cz;10;2021-12-18 11:18:20
10;30-10685882-7;Jaguar Animal Health, Inc.;29;D-9724-ZBK;+387-679-276-4867;isemechik9@pen.io;6;2022-01-21 06:13:14
11;30-13798449-5;HSBC Holdings plc;42;M-0244-XQF;+86-352-993-9894;kanfussoa@bloglovin.com;1;2022-04-24 18:53:00
12;30-14206631-8;First Trust Latin America AlphaDEX Fund;36;W-8182-JJJ;+86-900-897-8899;hmccourtieb@yale.edu;1;2022-03-27 22:28:42
13;30-14644489-7;Proofpoint, Inc.;18;V-9487-JDP;+7-291-689-0956;mskeatsc@aol.com;4;2021-10-30 07:52:50
14;30-10931121-3;KKR Income Opportunities Fund;41;Q-1699-COT;NULL;dcaveaud@phoca.cz;9;2022-04-16 23:50:13
15;30-19994791-5;Hebron Technology Co., Ltd.;33;U-5951-VHZ;NULL;sdunke@pinterest.com;1;2022-03-20 06:23:16
16;30-36704294-8;J P Morgan Chase & Co;28;H-0830-ZMN;NULL;mdraytonf@icio.us;4;2022-01-11 07:20:03
17;30-27516465-9;Perfumania Holdings, Inc;14;U-2763-KQG;+86-910-168-1917;mstainsg@qq.com;1;2021-09-19 02:32:55
18;30-27259866-0;ILG, Inc;4;Q-5147-KSA;+55-499-452-1570;bclyanth@blog.com;8;2021-06-30 23:05:27
19;30-30571405-3;Hostess Brands, Inc.;37;S-9460-BQQ;+86-746-109-7666;wabramskyi@multiply.com;9;2022-03-29 12:37:41
20;30-23488086-3;MSA Safety Incorporporated;21;D-4029-NCN;NULL;ctruelockj@mail.ru;6;2021-11-24 18:41:48
21;30-30141517-6;M B T Financial Corp;6;N-8561-YAP;+86-347-484-2998;vlecornuk@goo.ne.jp;1;2021-07-04 15:54:03
22;30-44946180-3;U.S. Silica Holdings, Inc.;30;C-3215-NPD;NULL;bwynrehamel@yale.edu;10;2022-02-22 05:44:09
